,authors,date_publish,description,text,title,url
0,['Norton Norton'],2019-02-28 00:00:00,,"11 Maldivian citizens have been arrested for drug trafficking from Male’ City in an anti-narcotics operation run by Maldives Police Service.
MPS reports the 11 suspects to range from 17 years to 33 years of age. They include nine males, one 20-year-old female, and a minor.
The operations were coordinated efforts based on intel of smuggling and trafficking operations.
The first two suspects – a 24-year-old male and a 33-year-old male were arrested during a raid on a house located in the Maafannu district of Male’ City on February 20. The police, during the raid, confiscated two plastic packets containing what is to believe to be a narcotic substance.
The Criminal Court remanded the 33-year-old to 10 days in custody and the 24-year-old to one day in custody at a detention facility determined by Ministry of Home Affairs.
The police conducted a raid on an additional house in the Maafannu district of Male’ City on February 20 and arrested seven suspects – including a 20-year-old female and a minor. The police, during the raid, confiscated an emptied film canister, two rubber packets, two plastic packets and 24 cellophane packages believed to contain narcotic substances.
Criminal Court remanded the minor to seven days in custody; the 20-year-old female to nine days in custody; a 23-year-old male, a 28-year-old male and a 33-year-old male to 12 days in custody; and a 20-year-old male and a 23-year-old male to 12 days in custody at a detention facility determined by Ministry of Home Affairs.
The last raid took place at a house located in the Galolhu district of Male’ City on February 26. The police, during the raid, confiscated 73 rubber packets believed to contain narcotic substances and arrested two 23-year-old males.
Criminal Court remanded the two suspects to 10 days in custody at a detention facility determined by the Ministry of Home Affairs.
MPS reports the three cases are under investigation by the Drug Enforcement Department of MPS.
Source URL: Sun.mv",11 arrested for trafficking in anti-narcotics operations by DOD,https://maldivestimes.com/11-arrested-for-trafficking-in-anti-narcotics-operations-by-dod/
1,['Norton Norton'],2019-01-23 00:00:00,,"Maldives Police Service has arrested two suspects attempting to traffic narcotics into R. Hulhudhuffaaru via a dinghy boat.
The two suspects were arrested at 8:53 am this Monday in an operation run by the R. Ungoofaaru Police Station.
They were intercepted near an uninhabited island in R. Atoll.
The two suspects have been identified by MPS as two 18-year-old men.
MPS reports it confiscated a plastic packet and an emptied film roll canister containing what is believed to be narcotic substances.
The case is under further investigation by the Ungoofaaru Police Station.
Full details are available at the link below:
Source URL: Sun.mv",2 arrested trafficking narcotics on a dinghy,https://maldivestimes.com/2-arrested-trafficking-narcotics-on-a-dinghy/
2,['Norton Norton'],2019-01-08 00:00:00,,"Maldives Customs says it confiscated narcotics in 83 operations it conducted in 2018.
The narcotics confiscated in the 83 cases weigh 32 kilos in total.
Maldives Customs cracked down on 11 drug trafficking attempts via air travel, 68 drug trafficking attempts via post, three drug trafficking attempts via air cargo and one drug trafficking attempt via sea.
The highest quantity of a single narcotic substance confiscated by Maldives Customs is cannabis. The agency confiscated 17 kilos of cannabis in 2018.
Maldives Customs expressed concern over the sharp rise in volume drug trafficking operations in the Maldives in 2018.
The agency confiscated 24 kilos of narcotics in 25 operations in 2017.
Source URL: Sun.mv",32 kilos of narcotics confiscated by Maldives Customs in 2018,https://maldivestimes.com/32-kilos-of-narcotics-confiscated-by-maldives-customs-in-2018/
3,['Norton Norton'],2018-10-18 00:00:00,,"Maldives Police Service has arrested a young man with a large quantity of narcotics from Hithadhoo, Addu City.
MPS says the man was arrested at 4:44 pm last Wednesday from near the Eedhigalikilhi in Hithadhoo in an operation run by the Hithadhoo Police Station.
The operation was run based on an intelligence report received by MPS.
MPS says four rubber packets containing what is believed to be narcotics was found on his person during the body search after his arrest.
Full details are available at the link below:
Source URL: Sun.mv",19-year-old arrested from Addu with large quantity of narcotics,https://maldivestimes.com/19-year-old-arrested-from-addu-with-large-quantity-of-narcotics/
4,['Norton Norton'],2018-10-08 00:00:00,,"A Maldivian citizen has been arrested from a resort at Lh. Atoll with narcotics.
Maldives Police Service has identified the suspect as a 35-year-old Maldivian male who works at the resort. The man was arrested last Friday.
MPS says officers searched the man’s room at the resort under court order and found three rubber packets containing narcotic substances inside his wardrobe.
Naifaru Magistrate Court has remanded him to 10 days in police custody for investigation into the case.
The case is under investigation by the Naifaru Police Station.
Full details are available at the link below:
Source URL: Sun.mv",Maldivian arrested from Lh. Atoll resort with narcotics,https://maldivestimes.com/maldivian-arrested-from-lh-atoll-resort-with-narcotics/
5,['Norton Norton'],2018-07-31 00:00:00,,"Two men have been arrested attempting to smuggle narcotics into Fuvahmulah City.
Maldives Police Service identified the two suspects as one 26-year-old male and one 41-year-old man.
They were arrested from a boat which travelled to Fuvahmulah City from Male’ City, based on intel received by the MPS.
MPS said officers discovered a plastic packet containing a substance believed to be narcotics during their search of the boat.
Fuvahmulah Magistrate Court has ordered the two suspects to 15 days in jail.
The case is under investigation by MPS.
Full details are available at the link below:
Source URL: Sun.mv",2 arrested trying to smuggle narcotics into Fuvahmulah,https://maldivestimes.com/2-arrested-trying-to-smuggle-narcotics-into-fuvahmulah/
6,['Norton Norton'],2018-06-06 00:00:00,,"Three Maldivian citizens have been arrested from neighbouring India with a large cache of narcotics.
Indian newspapers report three Maldivians: Shaneez Maheer, 27; Aiman Ahmed, 24; and Ibrahim Fauzan Salih, 29 were arrested from Indian city Trivandrum with 17 kilos of hashish oil.
The operation was run by Kerala Anti-Narcotic Special Action Force (KANSAF) and the estimated street value of the cache of narcotics seized in the operation is USD 7 million, according to reports carried by Indian media.
The Indian media also reports one of the suspected captured in the operation, Shaneez, is wanted in several countries for smuggling narcotics.
The Indian police also suspect Aiman and Fauzan of having links with narcotics distribution networks, according to media reports.
The Indian police are investigating for additional suspects linked to the case.
Full details are available at the link below:
Source URL: Sun.mv",3 Maldivians arrested from India with cache of narcotics,https://maldivestimes.com/3-maldivians-arrested-from-india-with-cache-of-narcotics/
7,['Norton Norton'],2017-06-09 00:00:00,,"MALDIVES: Maldives Customs Service has seized more than seven kilogram of narcotics smuggled into Maldives. Customs said the narcotics were seized while a 26-year-old Bangladeshi man attempted to smuggle them into the country on June 5.
Customs said his behavior alerted them, and when he was checked they found it inside six plastic plates, tightly packed with tap, inside a box. When the contents inside the plates were tested, they tested positive for cannabis, weighing 7.2 kilograms. Customs said the man is currently in police custody. Customs had previously intercepted a smuggling attempt and seized narcotics worth MVR 5.5 million in 2016.
Full details are available from the link below:
Source URL: Bing News :",Maldives Customs seizes 7kg narcotics,https://maldivestimes.com/maldives-customs-seizes-7kg-narcotics/
8,['Norton Norton'],2019-03-23 00:00:00,,"There’s a Maldivian legend that describes how God, after he made the world, was overcome with emotion at the beauty of his creation and that he shed a few tears as a result which fell into the Indian Ocean, giving origin to the Maldive Islands.
Indeed, as we flew over the atolls and islands of the Maldives on our approach into the capital city of Male, we could not help but marvel at the sublime beauty of this island nation. Myriad tiny islands, surrounded by azure blue water, lie strewn across this vast stretch of ocean as if a bag of jewels had broken apart and spilt its precious gems onto the water.
We landed into Male and the tranquillity of the aerial scene was instantly punctured by the frenetic activity of the international airport. Hustling through, we caught sight of the capital city just across a small stretch of water. High rise office buildings, construction cranes and mosques all contributed to the skyline. Dozens, perhaps hundreds, of boats were making their way to and fro…speedboats, fishing vessels, commercial ships and liveaboard yachts intermingled in the bustling waterway. It felt hot, crowded and chaotic.
But this was just a passing moment, the price of admission to a nation of proud elegance and jaw-dropping beauty. In just a few short moments, we had been whisked away by a speedboat headed for the nearby island of Huraa, located in the Male Atoll. Huraa is 30 minutes and an entire universe away from the choking confines of Male.
We arrived shortly after to a working dock on the island and were transported by golf cart to the Pearl Sands Beach Resort, a lovely property situated on a spectacular stretch of impossibly beautiful sand. With 32-rooms, a nice open-air restaurant and an onsite spa, we were tempted to retreat the comfort of a beach chair and skip the diving.
But, we were here to dive, and the Albatross Top Dive Center on site was our first stop after checking in. Time to schedule our dives, prepare our gear and get our camera systems ready.
The next morning, we boarded the dive Dhoni at the dock and headed off to the first dive of the day at a site known as The Aquarium. This is a sloping reef that opens onto a wide, sandy channel at about 100 feet of water. The Aquarium gets its name from the extreme profusion of fish life that seems to aggregate here. Large schools of Snapper, Grunts and Bigeye Trevally meander in circles in several of the coral cutouts.
As we swam along the reef, slowly descending to the sandy bottom, we spotted a curious Spotted Moray Eel poking its head out from its lair between two rocks. We maneuvered in the slight current to try for the best camera angle and as soon as we snapped the final image, a Hawksbill Turtle caught our eye cruising about 25 feet shallower on the reef. Almost as if fake, this turtle actually had a heart-shaped marking on its shell…was she trying to send us a message?
The Maldives are known for the outrageously colorful fish life abounding on its reefs. If you are a macro photographer, you will delight in searching for nudibranchs, anemone shrimp, blennies, gobies or porcelain crabs in the nooks and crannies of the coral jungles. We spotted a Decorator Crab that had us hysterically laughing with its trio of small anemones attached to its borrowed shell.
Words & photos by Michael Salvarezza and Christopher P. Weaver
Perhaps most entertaining, and often most frustrating for photographers, are the Anemonefish. Arrestingly beautiful they wiggle nervously in and out of the photogenic tentacles of the host anemone, moving out of focus or view the instant you press the shutter release. Good anemonefish images come with a healthy dose of throwaway images…it’s yet another price of admission to the beauty of the Maldives!
Some of the best marine life can often be found in the passes, or cuts, in the circling coral reef of the islands. Here, large volumes of water rush through during the tidal cycles, attracting huge schools of fish and pelagics looking for a meal. At Kani Corner, a dive site located at the bend in the reef near a pass, we spotted schools of Red Tail Butterflyfish sweeping over the reef, along with large groups of snapper and barracuda. In the pass, we saw a pair of Eagle Rays swoop through along with Whitetip Reef and Grey Reef Sharks in the distance.
The action is non-stop and it always seems as if our time is too short when we head to the surface for our safety stop, regardless of how long the dive was!
Besides diving, the center can organize snorkeling tours and dolphin encounters.
There are numerous other dive sites to explore off Huraa, but we also wanted to spend some time touring the island itself. This is a special place. Only a half hour from Male, this is an island that is just beginning to open its doors to tourism. Using the golf cart to explore, we met some of the local residents and got a sense of what daily life is like in this tine corner of the world. We spotted children leaving school wearing backpacks with colorful princess images alongside their parents in traditional Muslim attire. The traditional call to prayer would often ring out from the local mosque, and everyone we met flashed us a wide smile and a friendly nod of the head.
The dive team and staff at the Albatross Dive Center were extremely professional and very helpful. Our stay on Huraa, and our dives here, were memorable in both their underwater drama and in the peaceful time above the water. Huraa seems like it exists in the way that much of the world wishes it could.
Indeed, at dinner one evening, we struck up a conversation with one of the waiters named Hassan. Born and raised on Huraa, Hassan began talking about his love for soccer, or football as he calls it. Interestingly, the topic changed to the state of the world. And here, on this remote island so far removed from the rest of the world, Hassan profoundly said that “What’s happening in the world today is separating us. Sports is there to bring people together. We all need to come together!”
Hurray for Hussan, and Hurray for Huraa.
Getting There
The only international airport is located on the main island of Male. It is serviced with direct flights from Doha, Dubai, Colombo (Sri Lanka) and a few other destinations.
Visitors to the resort islands will next board speedboats or seaplanes depending on the location and distance of the resort. Check with your resort for arrangements. Many of the upscale resorts have comfortable lounges at the main airport where visitors can relax while waiting for transfers. Tours of Male can be arranged if the transfer time is longer than a few hours in duration.
There are domestic flights available on Maldivian Airlines for atolls in the south and north.
A valid passport is required for entry. Visas are not required.
When to go
The Maldives has an equatorial tropical climate. December through April is the dry season. February through April is the hottest time of the year, with temperatures in the 80s and 90s Fahrenheit each day. May through November is the rainy season.
Currency
The local currency is the rufiya (Rf) but US Dollars and Euros are generally accepted at all resorts.
Electricity
Power voltage used in the Maldives is220 Volts to 240 Volts (50 Hz). Be sure to double-check your appliance’s compatibility before plugging them in. Converters / adaptors are usually available upon request at your hotel front desk.
Customs
The Republic of the Maldives is a strict Islamic nation. Alcohol, firearms, pornography, pork, narcotics and “idols of worship” are among the prohibited items.
Because of the concern over evangelists spreading their beliefs within the country, attention is paid to religious items. A small crucifix, worn as jewelry, is unlikely to be a problem but a suitcase with several Bibles will likely create concern!
Full details are available at the link below:
Source URL: Bing News :",Hurray for Huraa: A Maldives Diving Escape,https://maldivestimes.com/hurray-for-huraa-a-maldives-diving-escape/
9,['Norton Norton'],2019-03-10 00:00:00,,,President inaugurates the Drug Detoxification and Community Rehabilitation Centre in Hithadhoo,https://maldivestimes.com/president-inaugurates-the-drug-detoxification-and-community-rehabilitation-centre-in-hithadhoo/
